순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","컴퓨터/모바일","쉽게 풀어쓴 C언어 Express","8970509577","9788970509570","93000","생능출판사","천인국 지음","30,000","30,000","0","0%","900점","20180820","23566"
"2","컴퓨터/모바일","두근두근 파이썬","8970508937","9788970508931","93000","생능출판사","천인국 지음","24,000","24,000","0","0%","720점","20170116","16833"
"3","컴퓨터/모바일","C언어로 쉽게 풀어쓴 자료구조","8970509712","9788970509716","93560","생능출판사","천인국.공용해.하상호 지음","29,000","29,000","0","0%","870점","20190222","14366"
"4","컴퓨터/모바일","HTML5 웹 프로그래밍 입문","K642635843","9791156644552","93000","한빛아카데미(교재)","윤인성 지음","26,000","26,000","0","0%","1,300점","20190720","8590"
"5","컴퓨터/모바일","컴퓨팅 사고 Level Up 소프트 파워 with 스크래치","K382637012","9791188831418","","연두에디션","김호다 외 지음","23,000","23,000","0","0%","0점","20200217","7040"
"6","컴퓨터/모바일","유튜브 영상 편집을 위한 프리미어 프로","K772636739","9791188621811","13000","제이펍","조블리(조애리) 지음","23,000","20,700","2,300","10%","1,150점","20200117","14835"
"7","컴퓨터/모바일","Do it! 점프 투 파이썬","K582635822","9791163030911","13000","이지스퍼블리싱","박응용 지음","18,800","16,920","1,880","10%","940점","20190620","18729"
"8","컴퓨터/모바일","명품 HTML5+CSS3+Javascript 웹 프로그래밍","8970508880","9788970508887","93000","생능출판사","황기태 지음","28,000","28,000","0","0%","840점","20170116","9553"
"9","컴퓨터/모바일","명품 JAVA Programming","897050947X","9788970509471","93000","생능출판사","황기태.김효수 지음","33,000","33,000","0","0%","990점","20180601","13065"
"10","컴퓨터/모바일","맛있는 디자인 포토샵 & 일러스트레이터 CC 2020","K932636333","9791162242582","13000","한빛미디어","빨간고래 (박정아).윤이사라 지음","22,000","19,800","2,200","10%","1,100점","20200130","10715"
"11","컴퓨터/모바일","혼자 공부하는 파이썬","K432635210","9791162241882","94000","한빛미디어","윤인성 지음","18,000","16,200","1,800","10%","900점","20190610","24677"
"12","컴퓨터/모바일","CODE 코드 (반양장)","8966261256","9788966261253","14000","인사이트","찰스 펫졸드 지음, 김현규 옮김","25,000","22,500","2,500","10%","1,250점","20150125","6898"
"13","컴퓨터/모바일","디지털 논리회로","K512433731","9791156641889","93000","한빛아카데미(교재)","임석구.홍경호 지음","27,000","27,000","0","0%","0점","20150706","9155"
"14","컴퓨터/모바일","명품 C++ Programming","8970509437","9788970509433","93000","생능출판사","황기태 지음","30,000","30,000","0","0%","900점","20180305","9417"
"15","컴퓨터/모바일","소프트웨어 중심사회의 컴퓨터개론","K602534733","9791185578392","93000","인피니티북스","강환수 외 지음","27,000","27,000","0","0%","1,350점","20190228","10151"
"16","컴퓨터/모바일","컴퓨터 개론","897050933X","9788970509334","93000","생능출판사","김대수 지음","26,000","26,000","0","0%","780점","20171205","8598"
"17","컴퓨터/모바일","리팩터링 2판 (리팩토링 개정판)","K932638523","9791162242742","93000","한빛미디어","마틴 파울러 지음, 개앞맵시 외 옮김","35,000","31,500","3,500","10%","1,750점","20200401","5190"
"18","컴퓨터/모바일","팜 2 : 하늘 농장","K542638327","9791165211004","74500","길벗","홍지연 지음, 지문 그림","12,000","10,800","1,200","10%","600점","20200402","4090"
"19","컴퓨터/모바일","Warming-Up C Programming","K012636101","9791188831203","","연두에디션","천정아 지음","25,000","25,000","0","0%","0점","20191120","6750"
"20","컴퓨터/모바일","DVD와 함께하는 애니메이션 캐릭터 작화 기술","8931459718","9788931459715","13650","영진.com(영진닷컴)","무로이 야스오 지음, 김재훈 옮김","20,000","18,000","2,000","10%","1,000점","20190228","11032"
"21","컴퓨터/모바일","Android Studio를 활용한 안드로이드 프로그래밍","K342636936","9791156644804","93000","한빛아카데미(교재)","우재남.박길식 지음","29,000","29,000","0","0%","1,450점","20200108","7355"
"22","컴퓨터/모바일","스크래치로 배우는 컴퓨팅 사고와 문제해결","K542534654","9791185578422","93000","인피니티북스","천인국.이화민 지음","24,000","24,000","0","0%","1,200점","20190227","4423"
"23","컴퓨터/모바일","돈이 된다! 스마트스토어","K852638585","9791186647424","13320","진서원","엑스브레인 지음","19,800","17,820","1,980","10%","990점","20200309","4810"
"24","컴퓨터/모바일","윤성우의 열혈 C 프로그래밍","8996094056","9788996094050","13000","오렌지미디어","윤성우 지음","25,000","22,500","2,500","10%","1,250점","20101101","33728"
"25","컴퓨터/모바일","앱 인벤터","K042637015","9791156644873","93000","한빛아카데미(교재)","이종원 지음","24,000","24,000","0","0%","1,200점","20200221","3730"
"26","컴퓨터/모바일","회사에서 바로 통하는 엑셀 for starters","K442636320","9791162242544","13000","한빛미디어","전미진 지음","15,000","13,500","1,500","10%","750점","20200106","7990"
"27","컴퓨터/모바일","C언어 콘서트","8970509275","9788970509273","93000","생능출판사","천인국 지음","26,000","26,000","0","0%","780점","20170825","7781"
"28","컴퓨터/모바일","직장인을 위한 실무 엑셀","K552536068","9791160500790","03000","길벗","선양미 지음","21,000","18,900","2,100","10%","1,050점","20190304","33240"
"29","컴퓨터/모바일","처음 만나는 디지털 논리회로","K832535993","9791156642633","93560","한빛아카데미(교재)","임석구.홍경호 지음","22,000","22,000","0","0%","0점","20160725","6726"
"30","컴퓨터/모바일","교실의 미래 구글 클래스룸","8965402360","9788965402367","13000","프리렉","Google Educator Group South Korea 외 지음","20,000","18,000","2,000","10%","1,000점","20190404","6028"
"31","컴퓨터/모바일","맛있는 디자인 프리미어 프로 & 애프터 이펙트 CC 2020","K132636941","9791162242599","13000","한빛미디어","김덕영 외 지음","23,000","20,700","2,300","10%","1,150점","20200225","7180"
"32","컴퓨터/모바일","Web App Programming Expert 1","8963413101","9788963413105","93560","영민","공은채.최민지.장영현 지음","23,000","21,850","1,150","5%","690점","20190310","2010"
"33","컴퓨터/모바일","프로크리에이트로 시작하는 아이패드 드로잉","K952636942","9791196845391","13000","책밥","수지(허수정) 지음","24,000","21,600","2,400","10%","1,200점","20200203","8480"
"34","컴퓨터/모바일","어서와 파이썬은 처음이지!","K552535002","9791185578231","93000","인피니티북스","천인국 지음","29,000","29,000","0","0%","1,450점","20160812","5168"
"35","컴퓨터/모바일","쉽게 배우는 운영체제","K422533329","9791156644071","93000","한빛아카데미(교재)","조성호 지음","28,000","28,000","0","0%","0점","20180630","5584"
"36","컴퓨터/모바일","예제중심의 C프로그래밍","8955027923","9788955027921","","글로벌","황혜정 지음","16,000","14,400","1,600","10%","800점","20200304","1720"
"37","컴퓨터/모바일","C로 배우는 쉬운 자료구조","K692535091","9791156642695","93000","한빛아카데미(교재)","이지영 지음","27,000","27,000","0","0%","0점","20160728","6938"
"38","컴퓨터/모바일","데이터베이스 개론","K002534127","9791156644316","93000","한빛아카데미(교재)","김연희 지음","27,000","27,000","0","0%","0점","20190103","6360"
"39","컴퓨터/모바일","처음 시작하는 프로그래밍","K192535604","9791195713547","93000","앤아이컴즈","김충석 지음","22,000","22,000","0","0%","0점","20160301","2049"
"40","컴퓨터/모바일","혼자 공부하는 C 언어","K772635210","9791162241868","94000","한빛미디어","서현우 지음","24,000","21,600","2,400","10%","1,200점","20190610","12579"
"41","컴퓨터/모바일","혼자 공부하는 자바","K422635210","9791162241875","94000","한빛미디어","신용권 지음","24,000","21,600","2,400","10%","1,200점","20190610","9672"
"42","컴퓨터/모바일","소프트웨어와 컴퓨팅 사고","8970508902","9788970508900","93000","생능출판사","김대수 지음","20,000","20,000","0","0%","600점","20161216","5514"
"43","컴퓨터/모바일","인문 예술 계열 전공자를 위한 문제해결을 위한 컴퓨팅 사고","8973165364","9788973165360","03000","부산대학교출판부","박성호 외 지음","23,000","23,000","0","0%","1,150점","20170224","4960"
"44","컴퓨터/모바일","Core C Programming","K632534836","9791188831166","93000","연두에디션","천정아 지음","28,000","28,000","0","0%","0점","20190114","4280"
"45","컴퓨터/모바일","컴퓨터 활용과 실습 2016","K292635330","9791156644507","93000","한빛아카데미(교재)","김주영 지음","24,000","24,000","0","0%","1,200점","20190715","3393"
"46","컴퓨터/모바일","이것이 C#이다","K102533662","9791162240861","93000","한빛미디어","박상현 지음","30,000","27,000","3,000","10%","1,500점","20180701","9650"
"47","컴퓨터/모바일","컴퓨터구조론 (김종현)","8970509690","9788970509693","93000","생능출판사","김종현 지음","28,000","28,000","0","0%","840점","20190222","6714"
"48","컴퓨터/모바일","Do it! HTML5 + CSS3 웹 표준의 정석","K832636825","9791163031291","13000","이지스퍼블리싱","고경희 지음","25,000","22,500","2,500","10%","1,250점","20191227","5765"
"49","컴퓨터/모바일","놓지 마 과학! 12","K742636192","9791190305310","67400","위즈덤하우스","신태훈.나승훈 글.그림, 류진숙 감수","12,000","10,800","1,200","10%","600점","20191108","19714"
"50","컴퓨터/모바일","밑바닥부터 시작하는 딥러닝","8968484635","9788968484636","93000","한빛미디어","사이토 고키 지음, 개앞맵시 옮김","24,000","21,600","2,400","10%","1,200점","20170103","16014"
"51","컴퓨터/모바일","정보통신 배움터","897050950X","9788970509501","93000","생능출판사","정진욱 외 지음","27,000","27,000","0","0%","810점","20180704","3066"
"52","컴퓨터/모바일","XAI 설명 가능한 인공지능, 인공지능을 해부하다","K542638328","9791158392000","93000","위키북스","안재현 지음","28,000","25,200","2,800","10%","1,400점","20200327","2210"
"53","컴퓨터/모바일","엑셀과 파워포인트 2016","K562532882","9791156643760","93000","한빛아카데미(교재)","김지연 지음","22,000","22,000","0","0%","0점","20171227","4027"
"54","컴퓨터/모바일","컴퓨팅 사고력을 키우는 블록 코딩 : 스크래치 3.0","K882635315","9791156644484","93000","한빛아카데미(교재)","고광일 지음","22,000","22,000","0","0%","1,100점","20190610","2714"
"55","컴퓨터/모바일","된다! 네이버 블로그 & 포스트","K162638420","9791163031512","13000","이지스퍼블리싱","황윤정 지음","15,000","13,500","1,500","10%","750점","20200323","1900"
"56","컴퓨터/모바일","로호의 배경 일러스트 메이킹","895674825X","9788956748252","13000","정보문화사","고아라 지음","30,000","27,000","3,000","10%","1,500점","20190215","9950"
"57","컴퓨터/모바일","이것이 자바다","8968481474","9788968481475","93000","한빛미디어","신용권 지음","30,000","27,000","3,000","10%","1,500점","20150105","8621"
"58","컴퓨터/모바일","쉽게 배우는 소프트웨어 공학","K762434091","9791156642053","93000","한빛아카데미(교재)","김치수 지음","25,000","25,000","0","0%","0점","20151130","5376"
"59","컴퓨터/모바일","운영체제","K372638921","9791185475578","93560","퍼스트북","Abraham Silberschatz 외 지음, 박민규 옮김","39,000","39,000","0","0%","1,170점","20200228","4400"
"60","컴퓨터/모바일","컴퓨팅 사고력을 키우는 SW 교육 : 파이썬","K192535894","9791156642701","93000","한빛아카데미(교재)","우재남 지음","22,000","22,000","0","0%","0점","20160720","3147"
"61","컴퓨터/모바일","맛있는 디자인 포토샵 CC 2020","K742638488","9791162242865","13000","한빛미디어","윤이사라.김신애 지음","21,000","18,900","2,100","10%","1,050점","20200306","3020"
"62","컴퓨터/모바일","나는 스마트폰으로 매일 인생사진 찍는다","K612636480","9791195733781","13660","T.W.I.G(티더블유아이지)(주)","방쿤 지음","15,800","14,220","1,580","10%","790점","20191101","8931"
"63","컴퓨터/모바일","윤성우의 열혈 C++ 프로그래밍","8996094048","9788996094043","13000","오렌지미디어","윤성우 지음","27,000","24,300","2,700","10%","1,350점","20100514","15434"
"64","컴퓨터/모바일","정보 보안 개론","K352532487","9791156643616","93000","한빛아카데미(교재)","양대일 지음","28,000","28,000","0","0%","0점","20180110","5281"
"65","컴퓨터/모바일","C# 프로그래밍 : 프로그래밍 기초부터 객체 지향 핵심까지","K582434094","9791156642046","93000","한빛아카데미(교재)","윤인성 지음","25,000","25,000","0","0%","0점","20151201","3798"
"66","컴퓨터/모바일","초연결 사회를 위한 컴퓨터 개론","K862636622","9791156644675","93000","한빛아카데미(교재)","조성호 지음","26,000","26,000","0","0%","1,300점","20200106","3490"
"67","컴퓨터/모바일","소프트 파워 UP with 스크래치 3.0","K322534625","9791188831142","93000","연두에디션","김호다 외 지음","23,000","23,000","0","0%","0점","20181218","3322"
"68","컴퓨터/모바일","비됴클래스 하?의 유튜브 동영상 편집 with 프리미어 프로","K542534208","9791162241349","13000","한빛미디어","하지원 지음","19,800","17,820","1,980","10%","990점","20181130","27983"
"69","컴퓨터/모바일","회사에서 바로 통하는 실무 엑셀 + 파워포인트 + 워드 & 한글","K972534367","9791162241097","13000","한빛미디어","전미진.이화진.신면철 지음","22,000","19,800","2,200","10%","1,100점","20180917","15250"
"70","컴퓨터/모바일","문제해결과 컴퓨팅 사고","K692531995","9791185578293","93000","인피니티북스","천인국 지음","23,000","23,000","0","0%","1,150점","20170710","3826"
"71","컴퓨터/모바일","오라클로 배우는 데이터베이스 개론과 실습","6000741886","9791156641186","93000","한빛아카데미(교재)","박우창 외 지음","27,000","27,000","0","0%","0점","20140621","3159"
"72","컴퓨터/모바일","처음 만나는 인공지능","897050334X","9788970503349","93000","생능출판사","김대수 지음","25,000","25,000","0","0%","750점","20200106","2945"
"73","컴퓨터/모바일","스크래치로 배우는 컴퓨팅 사고","K722636622","9791156644798","93000","한빛아카데미(교재)","조성호.고광일 지음","21,000","21,000","0","0%","1,050점","20200106","2650"
"74","컴퓨터/모바일","YouTube 유튜브 영상 편집 + 자막 무작정 따라하기 with 프리미어 프로","K912638021","9791165210915","03000","길벗","김은서 지음","15,000","13,500","1,500","10%","750점","20200323","1810"
"75","컴퓨터/모바일","포토샵 & 일러스트레이터 CC 2020 무작정 따라하기","K762636740","9791165210267","03000","길벗","민지영.문수민.앤미디어 지음","23,000","20,700","2,300","10%","1,150점","20200121","4950"
"76","컴퓨터/모바일","Do it! 안드로이드 앱 프로그래밍","K292637908","9791163031413","13000","이지스퍼블리싱","정재곤 지음","40,000","36,000","4,000","10%","2,000점","20200123","3825"
"77","컴퓨터/모바일","PC엔진 & PC-FX 퍼펙트 카탈로그","897849613X","9788978496131","13690","삼호미디어","마에다 히로유키 지음, 김진환 옮김, 조기현 감수","20,000","18,000","2,000","10%","1,000점","20200224","3805"
"78","컴퓨터/모바일","Perfect C","K292434816","9791185578224","93000","인피니티북스","강환수.강환일.이동규 지음","29,000","29,000","0","0%","1,450점","20160111","3551"
"79","컴퓨터/모바일","C 언어 일취월장","K302636322","9791156644774","93000","한빛아카데미(교재)","신윤환 지음","28,000","28,000","0","0%","1,400점","20200106","3085"
"80","컴퓨터/모바일","데이터베이스 for Beginner","K482534129","9791156644354","93000","한빛아카데미(교재)","우재남 지음","24,000","24,000","0","0%","0점","20190101","2190"
"81","컴퓨터/모바일","단단한 강화학습","K692638421","9791190665179","93000","제이펍","리처드 서튼.앤드류 바르토 지음, 김성우 옮김","35,000","31,500","3,500","10%","1,750점","20200331","1910"
"82","컴퓨터/모바일","쉽게 배우는 데이터 통신과 컴퓨터 네트워크","K432536066","9791156643043","93000","한빛아카데미(교재)","박기현 지음","27,000","27,000","0","0%","0점","20161226","5725"
"83","컴퓨터/모바일","운영체제","K532535184","9791156642459","93000","한빛아카데미(교재)","구현회 지음","27,000","27,000","0","0%","0점","20160630","4047"
"84","컴퓨터/모바일","유니티 교과서","K122636587","9791160509410","93000","길벗","기타무라 마나미 지음, 김은철 외 옮김","28,000","25,200","2,800","10%","1,400점","20191030","3653"
"85","컴퓨터/모바일","모두를 위한 R 데이터 분석 입문","K692635553","9791156644590","93000","한빛아카데미(교재)","오세종 지음","26,000","26,000","0","0%","1,300점","20190824","2554"
"86","컴퓨터/모바일","프리미어 프로 & 애프터 이펙트 CC 2020 무작정 따라하기","K482637115","9791165210298","03000","길벗","신의철 외 지음","24,000","21,600","2,400","10%","1,200점","20200228","2365"
"87","컴퓨터/모바일","사물인터넷 개론","8989383684","9788989383680","93000","배움터","서경환 외 지음","19,000","19,000","0","0%","570점","20180207","2153"
"88","컴퓨터/모바일","아이패드, 스마트폰, 컴퓨터 어디서나 SketchBook으로 시작하는 똥손 탈출 100일 100 드로잉","K982638220","9791190665032","13000","제이펍","정진호 지음","18,000","16,200","1,800","10%","900점","20200324","1600"
"89","컴퓨터/모바일","알고리즘 문제 해결 전략 - 전2권","8966260543","9788966260546","13560","인사이트","구종만 지음","50,000","45,000","5,000","10%","2,500점","20121114","14598"
"90","컴퓨터/모바일","난생처음 실무엑셀 속성과외","8960305448","9788960305441","13000","황금부엉이","심지은 지음","16,500","14,850","1,650","10%","820점","20200106","3320"
"91","컴퓨터/모바일","4차 산업혁명 시대의 정보통신개론","K732636938","9791156644767","93000","한빛아카데미(교재)","고응남 지음","25,000","25,000","0","0%","1,250점","20200106","3265"
"92","컴퓨터/모바일","데이터 과학을 위한 파이썬 프로그래밍","K222534023","9791156644361","93000","한빛아카데미(교재)","최성철 지음","25,000","25,000","0","0%","0점","20190101","3057"
"93","컴퓨터/모바일","한 권으로 끝내는 노션 NOTION","K832638382","9791196626365","13000","애드앤미디어","피터 킴.이석현 지음","16,000","14,400","1,600","10%","800점","20200301","2785"
"94","컴퓨터/모바일","윤성우의 열혈 자료구조","8996094064","9788996094067","13000","오렌지미디어","윤성우 지음","27,000","24,300","2,700","10%","1,350점","20120118","9656"
"95","컴퓨터/모바일","팜 1 : 지하 농장","K962636284","9791160509441","74500","길벗","홍지연 지음, 지문 그림","12,000","10,800","1,200","10%","600점","20191022","7804"
"96","컴퓨터/모바일","된다! 7일 실무 엑셀","K772635334","9791163030935","13000","이지스퍼블리싱","한정희 지음","20,000","18,000","2,000","10%","1,000점","20190725","7239"
"97","컴퓨터/모바일","명품 JAVA Essential","8970509569","9788970509563","93000","생능출판사","황기태 지음","28,000","28,000","0","0%","840점","20180810","5011"
"98","컴퓨터/모바일","컴퓨터 사이언스","K382434102","9791156642428","93000","한빛아카데미(교재)","이동명.권오현.고정국 지음","24,000","24,000","0","0%","0점","20151231","2864"
"99","컴퓨터/모바일","C로 시작하는 컴퓨터 프로그래밍","K772530255","9791156643180","93000","한빛아카데미(교재)","문호석.손명호 지음","20,000","20,000","0","0%","0점","20170417","2772"
"100","컴퓨터/모바일","된다! 김메주의 유튜브 영상 만들기","K102636416","9791163031260","13000","이지스퍼블리싱","김혜주 지음","16,000","14,400","1,600","10%","800점","20191223","8775"
"101","컴퓨터/모바일","케라스 창시자에게 배우는 딥러닝 Deep Learning with Python","K632534677","9791160505979","93000","길벗","프랑소와 숄레 지음, 박해선 옮김","33,000","29,700","3,300","10%","1,650점","20181022","8083"
"102","컴퓨터/모바일","Do it! 첫 코딩","K452636800","9791163031185","13000","이지스퍼블리싱","정동균 지음","14,000","12,600","1,400","10%","700점","20191120","6197"
"103","컴퓨터/모바일","컴퓨터 구조 및 설계","8964212134","9788964212134","93000","한티미디어","데이비드 패터슨.존 헤네시 지음, 박명순 외 옮김","35,000","35,000","0","0%","1,750점","20150119","5842"
"104","컴퓨터/모바일","프로그래머를 위한 선형대수","K032536399","9791160501308","93560","길벗","히라오카 카즈유키.호리 겐 지음, 이창신 옮김","32,000","28,800","3,200","10%","1,600점","20170310","5577"
"105","컴퓨터/모바일","Do it! 자료구조와 함께 배우는 알고리즘 입문 C 언어 편","K862532576","9791188612130","13000","이지스퍼블리싱","보요 시바타 지음, 강민 옮김","22,000","19,800","2,200","10%","1,100점","20171227","5230"
"106","컴퓨터/모바일","컴퓨터 네트워킹 하향식 접근","K152531721","9791185475318","93560","퍼스트북","James F. Kurose.Keith W. Ross 지음, 최종원 외 옮김","36,000","36,000","0","0%","0점","20170825","5066"
"107","컴퓨터/모바일","Java의 정석 : 기초편","8994492046","9788994492049","93500","도우출판","남궁성 지음","25,000","22,500","2,500","10%","1,250점","20191230","3330"
"108","컴퓨터/모바일","바쁜 직장인을 위한 한글 워드 한번에 끝내기","K862636208","9791186179413","13000","에듀웨이(주)","밍모 지음","18,000","16,200","1,800","10%","900점","20200115","2925"
"109","컴퓨터/모바일","엑셀 2016","K352533229","9791156644057","93000","한빛아카데미(교재)","김지연 지음","19,000","19,000","0","0%","0점","20180629","2597"
"110","컴퓨터/모바일","스마트 시대의 멀티미디어","1156641470","9791156641476","93000","한빛아카데미(교재)","김용태.박길철 지음","28,000","28,000","0","0%","0점","20141215","1719"
"111","컴퓨터/모바일","윈도우 10 + 엑셀 & 파워포인트 & 워드 2019 + 한글 무작정 따라하기","K462635479","9791160507539","03000","길벗","고경희.박미정.박은진 지음","20,000","18,000","2,000","10%","1,000점","20190329","5254"
"112","컴퓨터/모바일","생활코딩! HTML + CSS + 자바스크립트","K342534127","9791158391331","93000","위키북스","이고잉 지음","27,000","24,300","2,700","10%","1,350점","20190115","4539"
"113","컴퓨터/모바일","리액트를 다루는 기술","K662635453","9791160508796","93000","길벗","김민준 지음","42,000","37,800","4,200","10%","2,100점","20190831","4334"
"114","컴퓨터/모바일","파이썬으로 배우는 컴퓨팅 사고","K782635463","9791185578439","93000","인피니티북스","김완섭 지음","17,000","17,000","0","0%","850점","20200212","3925"
"115","컴퓨터/모바일","사진 가공으로 만드는 배경 일러스트","K352637310","9791160074697","13650","한즈미디어(한스미디어)","사케하라스 지음, 김재훈 옮김","16,500","14,850","1,650","10%","820점","20200225","3590"
"116","컴퓨터/모바일","Hello Coding 한입에 쏙 파이썬","K242533961","9791162240854","94000","한빛미디어","김왼손.김태간 지음","15,000","13,500","1,500","10%","750점","20180620","3523"
"117","컴퓨터/모바일","컴퓨팅 사고","K952536661","9791185578279","93000","인피니티북스","David D. Riley 외 지음, 문봉교 외 옮김","23,000","23,000","0","0%","1,150점","20170111","3406"
"118","컴퓨터/모바일","Do it! 웹 프로그래밍을 위한 자바스크립트 기본 편","K212635979","9791163030645","13000","이지스퍼블리싱","고경희 지음","18,800","16,920","1,880","10%","940점","20190326","3181"
"119","컴퓨터/모바일","웹툰 기획 무작정 따라하기","K112636717","9791160509717","03000","길벗","최이지 지음","20,000","18,000","2,000","10%","1,000점","20191130","3135"
"120","컴퓨터/모바일","파이썬 머신러닝 완벽 가이드","K372637591","9791158391928","93500","위키북스","권철민 지음","38,000","34,200","3,800","10%","1,900점","20200207","3120"
"121","컴퓨터/모바일","슛뚜의 감성 브이로그","K342636833","9791160320749","13000","싸이프레스","슛뚜 지음","16,000","14,400","1,600","10%","800점","20200120","3065"
"122","컴퓨터/모바일","알기 쉬운 알고리즘","8970507590","9788970507590","93560","생능출판사","양성봉 지음","24,000","24,000","0","0%","1,200점","20130205","2866"
"123","컴퓨터/모바일","소프트웨어 세상을 여는 컴퓨터 과학","K992532497","9791156643814","93000","한빛아카데미(교재)","김종훈 지음","22,000","22,000","0","0%","0점","20180126","2691"
"124","컴퓨터/모바일","직장인을 위한 실무 파워포인트","K642636849","9791165210014","03000","길벗","김기만.배준오 지음","21,000","18,900","2,100","10%","1,050점","20200123","2625"
"125","컴퓨터/모바일","디지털 논리회로 실험","8998756757","9788998756758","93560","한빛아카데미(교재)","임석구.홍경호 지음","23,000","23,000","0","0%","0점","20140106","2030"
"126","컴퓨터/모바일","쉽게 배우는 알고리즘","K002532298","9791156643753","93000","한빛아카데미(교재)","문병로 지음","27,000","27,000","0","0%","0점","20180120","4553"
"127","컴퓨터/모바일","개발 7년차, 매니저 1일차","K692637692","9791162242551","13000","한빛미디어","카미유 푸르니에 지음, 권원상 외 옮김","22,000","19,800","2,200","10%","1,100점","20200204","3875"
"128","컴퓨터/모바일","업무 시각화","K602636940","9791161753430","93000","에이콘출판","도미니카 드그란디스 지음, 유지은 외 옮김","18,000","16,200","1,800","10%","900점","20200131","3490"
"129","컴퓨터/모바일","데이터 통신과 네트워킹","8960552895","9788960552890","93560","한국맥그로힐","Behrouz A. Forouzan 지음, 이재광 옮김","39,000","39,000","0","0%","1,950점","20130107","3393"
"130","컴퓨터/모바일","파이썬 라이브러리를 활용한 데이터 분석","K602635807","9791162241905","93000","한빛미디어","웨스 맥키니 지음, 김영근 옮김","35,000","31,500","3,500","10%","1,750점","20190520","3209"
"131","컴퓨터/모바일","알기 쉬운 정보보호개론","K232531279","9791185578132","93000","인피니티북스","히로시 유키 지음, 이재광.전태일.조재신 옮김","29,000","29,000","0","0%","1,450점","20170531","3152"
"132","컴퓨터/모바일","데이터 통신","8970509313","9788970509310","93560","생능출판사","정진욱.한정수 지음","29,000","29,000","0","0%","870점","20171130","2647"
"133","컴퓨터/모바일","쉽게 배우는 자바 프로그래밍","K482531503","9791156643296","93000","한빛아카데미(교재)","우종정 지음","27,000","27,000","0","0%","0점","20170802","2149"
"134","컴퓨터/모바일","멀티미디어 배움터 2.0","8970508767","9788970508764","93000","생능출판사","최윤철.임순범 지음","27,000","27,000","0","0%","810점","20160830","2132"
"135","컴퓨터/모바일","네트워크 개론","K972635034","9791156644521","93000","한빛아카데미(교재)","진혜진 지음","25,000","25,000","0","0%","1,250점","20190705","2058"
"136","컴퓨터/모바일","인스타그램 마케팅을 위한 상품 사진의 비밀 37","K032637018","9791190665001","13000","제이펍","6151.나카노 하루요.moron_non 지음, 구수영 옮김, 도진호 감수","15,000","13,500","1,500","10%","750점","20200229","1945"
"137","컴퓨터/모바일","회사에서 바로 통하는 엑셀 2016","8968483353","9788968483356","14000","한빛미디어","한은숙 지음","18,000","16,200","1,800","10%","900점","20170705","1887"
"138","컴퓨터/모바일","4차 산업혁명 기반 기술의 이해","K542637207","9791188831357","","연두에디션","김미혜 외 지음","22,000","22,000","0","0%","0점","20191231","1740"
"139","컴퓨터/모바일","Start up 스마트폰으로 유튜브 크리에이터 되기","K072638582","9791188059997","13000","아티오","남시언 지음","18,000","16,200","1,800","10%","900점","20200310","1640"
"140","컴퓨터/모바일","엑셀 & 파워포인트 2016 무작정 따라하기","K462434822","9791186978573","03000","길벗","박미정.박은진 지음","15,000","13,500","1,500","10%","750점","20160211","1623"
"141","컴퓨터/모바일","딥러닝을 위한 수학","K952638425","9791158391942","93500","위키북스","아카이시 마사노리 지음, 신상재 옮김","25,000","22,500","2,500","10%","1,250점","20200327","1280"
"142","컴퓨터/모바일","컴퓨터 활용 마스터하기","K332638428","9788993163285","","이한미디어","이명섭.이정아 지음","24,000","24,000","0","0%","720점","20180301","750"
"143","컴퓨터/모바일","공간 드로잉 : 투시편","8960882682","9788960882683","13650","디지털북스(아이생각)","김동호 지음","20,000","18,000","2,000","10%","1,000점","20190805","6465"
"144","컴퓨터/모바일","스프링 부트와 AWS로 혼자 구현하는 웹 서비스","8965402603","9788965402602","93000","프리렉","이동욱 지음","22,000","19,800","2,200","10%","1,100점","20191129","5922"
"145","컴퓨터/모바일","레트로의 유니티 게임 프로그래밍 에센스","K312534849","9791162241516","93000","한빛미디어","이제민 지음","60,000","54,000","6,000","10%","3,000점","20190220","5422"
"146","컴퓨터/모바일","머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로","K972635908","9791160507966","93000","길벗","세바스찬 라시카.바히드 미자리리 지음, 박해선 옮김","33,000","29,700","3,300","10%","1,650점","20190524","4744"
"147","컴퓨터/모바일","C 언어 for Beginner","K552533320","9791156643951","93000","한빛아카데미(교재)","우재남 지음","23,000","23,000","0","0%","0점","20180630","4730"
"148","컴퓨터/모바일","컴퓨터 구조와 원리 2.0","8998756315","9788998756314","93000","한빛아카데미(교재)","신종홍 지음","25,000","25,000","0","0%","0점","20130810","3176"
"149","컴퓨터/모바일","한 권으로 끝내는 글로벌셀러 아마존 판매 실전 바이블","K772636604","9791185553597","13000","앤써북","최진태 지음","25,000","22,500","2,500","10%","1,250점","20191225","3096"
"150","컴퓨터/모바일","포토샵 CC 2020 무작정 따라하기","K442637118","9791165210274","03000","길벗","민지영.앤미디어 지음","22,000","19,800","2,200","10%","1,100점","20200220","1715"
