순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"550","컴퓨터/모바일","단계별로 배우는 안드로이드 프로그래밍","K032532363","9791156643630","93000","한빛아카데미(교재)","김선우 지음","35,000","35,000","0","0%","0점","20171208","882"
"551","컴퓨터/모바일","캐드 도면 설계","8960880647","9788960880641","13000","디지털북스(아이생각)","강윤정 지음","25,000","22,500","2,500","10%","1,250점","20100110","880"
"552","컴퓨터/모바일","컴퓨터 네트워크","8970509372","9788970509372","93560","생능출판사","정진욱 외 지음","31,000","31,000","0","0%","930점","20180103","874"
"553","컴퓨터/모바일","AutoCAD 도면예제 545","K092434346","9791186978863","03000","길벗","류지호.네모기획 지음","23,000","20,700","2,300","10%","1,150점","20160330","869"
"554","컴퓨터/모바일","빅데이터 컴퓨팅 기술","6000742268","9791156641148","93000","한빛아카데미(교재)","박두순 외 지음","22,000","22,000","0","0%","0점","20140619","868"
"555","컴퓨터/모바일","쇼핑몰 창업 Q&A 121","8931461771","9788931461770","13320","영진.com(영진닷컴)","단아쌤 김경은 지음","22,000","19,800","2,200","10%","1,100점","20200128","860"
"556","컴퓨터/모바일","쉽게 따라하는 앱 인벤터 2 배우기","8956746990","9788956746999","93000","정보문화사","이미향 지음","15,000","13,500","1,500","10%","750점","20160831","851"
"557","컴퓨터/모바일","프로그래밍 언어론","8945006591","9788945006592","93560","피어슨에듀케이션코리아","Robert W. Sebesta 지음, 유원희.하상호 옮김","30,000","30,000","0","0%","0점","20121226","848"
"558","컴퓨터/모바일","파이썬으로 쉽게 풀어쓴 자료구조","8970503846","9788970503844","93000","생능출판사","최영규.천인국 지음","27,000","27,000","0","0%","810점","20200224","830"
"559","컴퓨터/모바일","따라 하면서 배우는 아두이노","K292535279","9791156642596","93560","한빛아카데미(교재)","허경용 지음","26,000","26,000","0","0%","0점","20160610","822"
"560","컴퓨터/모바일","엑셀 2016","8909196920","9788909196925","13000","교학사","장미희 지음","10,000","9,000","1,000","10%","500점","20170410","803"
"561","컴퓨터/모바일","Interaction Design 인터랙션 디자인","8960772844","9788960772847","14560","에이콘출판","댄 새퍼 지음, 이수인 옮김","30,000","27,000","3,000","10%","1,500점","20120319","802"
"562","컴퓨터/모바일","MATLAB을 이용한 알기 쉬운 수치해석","8970509585","9788970509587","93410","생능출판사","박태희 지음","27,000","27,000","0","0%","810점","20180903","796"
"563","컴퓨터/모바일","파워포인트 2016 기초","K502636896","9791125464259","13000","시대인","장경숙 지음","10,000","9,000","1,000","10%","500점","20191105","790"
"564","컴퓨터/모바일","맛있는 디자인 프리미어 프로 CC 2020","K642638385","9791162242872","13000","한빛미디어","김덕영.심수진.윤성우 지음","24,000","21,600","2,400","10%","1,200점","20200228","785"
"565","컴퓨터/모바일","AutoCAD 2020 기초와 실습","8942916031","9788942916030","93560","일진사","김재중 지음","25,000","22,500","2,500","10%","1,250점","20200115","785"
"566","컴퓨터/모바일","기초 통신이론","K262536081","9791156643029","93560","한빛아카데미(교재)","김영길 지음","22,000","22,000","0","0%","0점","20170206","772"
"567","컴퓨터/모바일","데이터 과학 무엇을 하는가?","K522532050","9791163030096","13000","이지스퍼블리싱","김옥기 지음","18,000","16,200","1,800","10%","900점","20180525","744"
"568","컴퓨터/모바일","소프트웨어와 문제해결","K842638022","9791185578552","","인피니티북스","조대제.송희헌.배미영 지음","20,000","20,000","0","0%","1,000점","20191219","730"
"569","컴퓨터/모바일","나쁜 프로그래밍 습관","893146195X","9788931461954","93000","영진.com(영진닷컴)","칼 비쳐 지음, 황현우 옮김, 체임 크라우스 감수","18,000","16,200","1,800","10%","900점","20200320","710"
"570","컴퓨터/모바일","Start up 인스타그램으로 SNS 크리에이터 되기","K042638582","9791188059980","13000","아티오","남시언 지음","15,000","13,500","1,500","10%","750점","20200228","705"
"571","컴퓨터/모바일","UML로 배우는 시스템 분석 설계","8970509542","9788970509549","93560","생능출판사","최은만 지음","31,000","31,000","0","0%","930점","20180917","682"
"572","컴퓨터/모바일","오토캐드 트레이닝 북","K522534405","9791162241318","13000","한빛미디어","강석창 지음","29,000","26,100","2,900","10%","1,450점","20181206","674"
"573","컴퓨터/모바일","검색을 위한 딥러닝","K552638584","9791188621972","93000","제이펍","토마소 테오필리 지음, 박진수 옮김","29,000","26,100","2,900","10%","1,450점","20200312","670"
"574","컴퓨터/모바일","엑셀 & 파워포인트 2016","8966285732","9788966285730","","오성미디어","한혜경 외 지음","25,000","25,000","0","0%","750점","20200220","660"
"575","컴퓨터/모바일","swedu, 정보적 사고에서 인공 지능까지","K772636478","9791156644545","93000","한빛아카데미(교재)","김현철 지음","19,000","19,000","0","0%","950점","20190928","659"
"576","컴퓨터/모바일","데이터를 다루며 배우는 파이썬","8966262481","9788966262489","93000","인사이트","찰스 세브란스 지음, 김현욱 옮김","18,000","16,200","1,800","10%","900점","20190822","652"
"577","컴퓨터/모바일","ATmega128 기초와 응용 1","8971017910","9788971017913","93560","오므사(ohm사)","신동욱 지음","30,000","30,000","0","0%","1,500점","20141117","609"
"578","컴퓨터/모바일","엑셀 2016 기본 + 실무완성","K752532973","9791185123936","13000","북스홀릭퍼블리싱","김경자 지음","23,000","23,000","0","0%","0점","20180102","585"
"579","컴퓨터/모바일","메이크코드로 만드는 마인크래프트 테마파크","893146181X","9788931461817","93000","영진.com(영진닷컴)","에이럭스 코딩 교육 연구소.송다영 지음","16,000","14,400","1,600","10%","800점","20200207","555"
"580","컴퓨터/모바일","스케치업 베이직","8962852462","9788962852462","13000","대가","이지환 지음","23,000","20,700","2,300","10%","1,150점","20200325","540"
"581","컴퓨터/모바일","정보보안개론","K852636829","9791185578514","93000","인피니티북스","이상진 지음","28,000","28,000","0","0%","1,400점","20191218","525"
